id,cluster,observacio,name,elegir,geometry
41,137,NA,20,derecha,"c(-89.9205022629897, 14.7615928893875)"
3,139,NA,1,izquierda,"c(-89.7173532873637, 14.5701921442538)"
4,139,NA,2,izquierda,"c(-89.7176841375445, 14.5708436052141)"
50,139,NA,3,derecha,"c(-89.7182716818313, 14.5747026437882)"
58,139,NA,4,izquierda,"c(-89.7175871642158, 14.5754148194865)"
104,139,NA,5,izquierda,"c(-89.7186766880872, 14.5763754249216)"
112,139,NA,6,izquierda,"c(-89.7177868151869, 14.5766072945716)"
117,139,NA,7,izquierda,"c(-89.7172962442291, 14.5766735429982)"
142,139,NA,8,derecha,"c(-89.7166003179867, 14.5774795639265)"
145,139,NA,9,derecha,"c(-89.7160698168346, 14.5775513327703)"
150,139,NA,10,derecha,"c(-89.7179465359639, 14.5777666391614)"
155,139,NA,11,derecha,"c(-89.7172277924676, 14.5778715319423)"
161,139,NA,12,derecha,"c(-89.7184428112351, 14.5782911025668)"
176,139,NA,13,derecha,"c(-89.7161439729096, 14.5788266060189)"
178,139,NA,14,derecha,"c(-89.7169311681675, 14.5786775484878)"
190,139,NA,15,derecha,"c(-89.7174160348119, 14.5783518298279)"
144,139,NA,16,derecha,"c(-89.7165318662251, 14.5772752986277)"
151,139,NA,17,derecha,"c(-89.7182545688909, 14.5778770526136)"
166,139,NA,18,derecha,"c(-89.7202681915432, 14.5781751686584)"
169,139,NA,19,izquierda,"c(-89.717011028556, 14.5785395321652)"
191,139,NA,20,izquierda,"c(-89.7174673736331, 14.5784346397023)"
51,147,NA,1,izquierda,"c(-89.9344450594438, 14.768636268437)"
64,147,NA,2,izquierda,"c(-89.9389172411986, 14.7695243201609)"
72,147,NA,3,derecha,"c(-89.9385122349428, 14.7699821342283)"
94,147,NA,4,izquierda,"c(-89.937097565204, 14.7693753924853)"
187,147,NA,5,derecha,"c(-89.9336635684995, 14.7701255456655)"
210,147,NA,6,derecha,"c(-89.9324542540454, 14.76969531107)"
213,147,NA,7,izquierda,"c(-89.9317811450568, 14.7698993968176)"
254,147,NA,8,derecha,"c(-89.9386320255256, 14.7714548548673)"
278,147,NA,9,izquierda,"c(-89.9387860419891, 14.7712011284277)"
4,147,NA,10,izquierda,"c(-89.9337377245744, 14.7663747538723)"
34,147,NA,11,derecha,"c(-89.9323800979702, 14.7674889664278)"
55,147,NA,12,izquierda,"c(-89.9328991904953, 14.7687796807623)"
61,147,NA,13,derecha,"c(-89.9371945385328, 14.7665843586506)"
113,147,NA,14,derecha,"c(-89.9361278319153, 14.7695298359988)"
128,147,NA,15,derecha,"c(-89.9358369119287, 14.7704013366248)"
133,147,NA,16,derecha,"c(-89.9353976797921, 14.7703075677379)"
148,147,NA,17,derecha,"c(-89.9351067598056, 14.7703627259116)"
167,147,NA,18,izquierda,"c(-89.9354262013595, 14.7707157378916)"
183,147,NA,19,derecha,"c(-89.9353862711653, 14.771046686102)"
216,147,NA,20,derecha,"c(-89.9326995395243, 14.7698221752059)"
1,149,NA,1,izquierda,"c(-90.1238007634693, 14.5835330187832)"
8,149,NA,2,izquierda,"c(-90.1249359218484, 14.5870826906239)"
21,149,NA,3,izquierda,"c(-90.1249131045946, 14.5879990818362)"
24,149,NA,4,izquierda,"c(-90.1249530347888, 14.5884738372294)"
